"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Chen Z.; Kim E.; Davidsen T.; Barnholtz-Sloan J.S.","Chen, Zhaoyi (57193076426); Kim, Erika (57211461050); Davidsen, Tanja (6602279726); Barnholtz-Sloan, Jill S. (7005410780)","57193076426; 57211461050; 6602279726; 7005410780","Usage of the National Cancer Institute Cancer Research Data Commons by Researchers: A Scoping Review of the Literature","2024","JCO Clinical Cancer Informatics","8","","e2400116","","","","0","10.1200/CCI.24.00116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209395390&doi=10.1200%2fCCI.24.00116&partnerID=40&md5=570b2aff63c3af0a8fb699f82492dd0e","PURPOSE Over the past decade, significant surges in cancer data of all types have happened. To promote sharing and use of these rich data, the National Cancer Institute’s Cancer Research Data Commons (CRDC) was developed as a cloud-based infrastructure that provides a large, comprehensive, and expanding collection of cancer data with tools for analysis. We conducted this scoping review of articles to provide an overview of how CRDC resources are being used by cancer researchers. METHODS A thorough literature search was conducted to identify all relevant publications. We included publications that directly cited CRDC resources to specifically examine the impact and contributions of CRDC by itself. We summarized the distributions and trends of how CRDC components were used by the research community and discussed current research gaps and future opportunities. RESULTS In terms of CRDC resources used by the research community, encouraging trends in utilization were observed, suggesting that CRDC has become an important building block for fostering a wide range of cancer research. We also noted a few areas where current applications are rather lacking and provided insights on how improvements can be made by CRDC and research community. CONCLUSION CRDC, as the foundation of a National Cancer Data Ecosystem, will continue empowering the research community to effectively leverage cancer-related data, uncover novel strategies, and address the needs of patients with cancer, ultimately combatting this disease more effectively. © 2024 by American Society of Clinical Oncology.","Review","Final","","Scopus","2-s2.0-85209395390"
"Lu T.; Zhang B.; Ren K.","Lu, Tianpei (57888670500); Zhang, Bingsheng (59045390000); Ren, Kui (8396435500)","57888670500; 59045390000; 8396435500","PrivData Network: A Privacy-Preserving On-Chain Data Factory and Trading Market","2024","IEEE Transactions on Dependable and Secure Computing","21","3","","1424","1436","12","3","10.1109/TDSC.2023.3284565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162672315&doi=10.1109%2fTDSC.2023.3284565&partnerID=40&md5=3566ac090db85bd9b7fd74d3e18ee887","Privacy concerns often raise when sensitive data are collected, traded, and processed. The data owner typically loses her ultimate control of the data after data-outsourcing. In this work, we present the PrivData Network - a community-controlled privacy-preserving data factory and trading market. It can be viewed as a standalone data ecosystem that enables privacy-preserving data-driven workflows in a controlled environment for orchestrating and automating data movement and data transformation. In particular, we design a data encapsulation mechanism with privacy assurance, which can guarantee data privacy, usage policy compliance and metadata validity. We also design a privacy policy language and utilize a static analysis library that transfers the program to the defined policy language. To ensure the correctness of data processing, we propose a publicly verifiable secure multiparty computation protocol for mixed circuits, which guarantees the output correctness even if all parties are corrupted. Its online efficiency is comparable to conventional semi-honest secret-sharing-based MPC schemes. Finally, we implemented a prototype of our system in C++ and benchmark it on various tasks, such as biometric matching, logistic regression, and decision trees, etc. © 2004-2012 IEEE.","Article","Final","","Scopus","2-s2.0-85162672315"
"Garrido-Hidalgo C.; Roda-Sanchez L.; Fernández-Caballero A.; Olivares T.; Ramírez F.J.","Garrido-Hidalgo, Celia (57193328014); Roda-Sanchez, Luis (57202112308); Fernández-Caballero, Antonio (6602230534); Olivares, Teresa (6602909884); Ramírez, F. Javier (57188750814)","57193328014; 57202112308; 6602230534; 6602909884; 57188750814","Internet-of-Things framework for scalable end-of-life condition monitoring in remanufacturing","2023","Integrated Computer-Aided Engineering","31","1","","1","17","16","4","10.3233/ICA-230716","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177780066&doi=10.3233%2fICA-230716&partnerID=40&md5=889f15e2ac1d7821a9be45fe92691ec6","The worldwide generation of waste electrical and electronic equipment is continuously growing, with electric vehicle batteries reaching their end-of-life having become a key concern for both the environment and human health in recent years. In this context, the proliferation of Internet of Things standards and data ecosystems is advancing the feasibility of data-driven condition monitoring and remanufacturing. This is particularly desirable for the end-of-life recovery of high-value equipment towards sustainable closed-loop production systems. Low-Power Wide-Area Networks, despite being relatively recent, are starting to be conceived as key-enabling technologies built upon the principles of long-range communication and negligible energy consumption. While LoRaWAN is considered the open standard with the highest level of acceptance from both industry and academia, it is its random access protocol (Aloha) that limits its capacity in large-scale deployments to some extent. Although time-slotted scheduling has proved to alleviate certain scalability limitations, the constrained nature of end nodes and their application-oriented requirements significantly increase the complexity of time-slotted network management tasks. To shed light on this matter, a multi-agent network management system for the on-demand allocation of resources in end-of-life monitoring applications for remanufacturing is introduced in this work. It leverages LoRa’s spreading factor orthogonality and network-wide knowledge to increase the number of nodes served in time-slotted monitoring setups. The proposed system is validated and evaluated for end-of-life monitoring where two representative end-node distributions were emulated, with the achieved network capacity improvements ranging from 75.27% to 249.46% with respect to LoRaWAN’s legacy operation. As a result, the suitability of different agent-based strategies has been evaluated and a number of lessons have been drawnaccording to different application and hardware constraints. While the presented findings can be used to further improve the explainability of the proposed models (in line with the concept of eXplainable AI), the overall framework represents a step forward in lightweight end-of-life condition monitoring for remanufacturing. © 2024 – IOS Press. All rights reserved.","Article","Final","","Scopus","2-s2.0-85177780066"
"Howard C.; Hyland-Wood B.","Howard, Cosmo (8882740600); Hyland-Wood, Bernadette (57217024321)","8882740600; 57217024321","The promise and performance of data ecosystems: Australia’s COVID-19 response","2024","Policy and Politics","52","1","","108","130","22","1","10.1332/03055736Y2023D000000001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199109922&doi=10.1332%2f03055736Y2023D000000001&partnerID=40&md5=80d3cac19f61282ef63ee46de2828c49","Ecosystem metaphors are increasingly used to describe complex business and civil society relationships. This article argues that the rise of ecosystem thinking in public policy and administration represents a new, radically decentred model of policy action. It focuses on ecosystems of data-driven modelling and experts who use government public health data. This study presents a conceptual framework that suggests effective data ecosystems undergo organic adaptation, display institutional leadership, and respond instrumentally to policymakers’ information needs. It examines how Australia’s infectious disease data ecosystem performed before and during the COVID-19 pandemic. In-depth interviews with data experts involved in infectious disease modelling in Australia revealed trade-offs within and between organic, institutional and instrumental dimensions, which COVID-19 exacerbated. The article concludes that data ecosystems represent a hybrid form of policymaking in practice and that tensions must be managed to maximise the contributions of data ecosystems to facilitate evidence-informed decision-making. • © Authors 2024","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85199109922"
"Lohmöller J.; Pennekamp J.; Matzutt R.; Schneider C.V.; Vlad E.; Trautwein C.; Wehrle K.","Lohmöller, Johannes (57212227372); Pennekamp, Jan (57195223332); Matzutt, Roman (56975507800); Schneider, Carolin Victoria (57210444730); Vlad, Eduard (58450126500); Trautwein, Christian (7005071218); Wehrle, Klaus (56253795600)","57212227372; 57195223332; 56975507800; 57210444730; 58450126500; 7005071218; 56253795600","The unresolved need for dependable guarantees on security, sovereignty, and trust in data ecosystems","2024","Data and Knowledge Engineering","151","","102301","","","","4","10.1016/j.datak.2024.102301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188745264&doi=10.1016%2fj.datak.2024.102301&partnerID=40&md5=d54e3a331e32afe6dcaa08124878db00","Data ecosystems emerged as a new paradigm to facilitate the automated and massive exchange of data from heterogeneous information sources between different stakeholders. However, the corresponding benefits come with unforeseen risks as sensitive information is potentially exposed, questioning data ecosystem reliability. Consequently, data security is of utmost importance and, thus, a central requirement for successfully realizing data ecosystems. Academia has recognized this requirement, and current initiatives foster sovereign participation via a federated infrastructure where participants retain local control over what data they offer to whom. However, recent proposals place significant trust in remote infrastructure by implementing organizational security measures such as certification processes before the admission of a participant. At the same time, the data sensitivity incentivizes participants to bypass the organizational security measures to maximize their benefit. This issue significantly weakens security, sovereignty, and trust guarantees and highlights that organizational security measures are insufficient in this context. In this paper, we argue that data ecosystems must be extended with technical means to (re)establish dependable guarantees. We underpin this need with three representative use cases for data ecosystems, which cover personal, economic, and governmental data, and systematically map the lack of dependable guarantees in related work. To this end, we identify three enablers of dependable guarantees, namely trusted remote policy enforcement, verifiable data tracking, and integration of resource-constrained participants. These enablers are critical for securely implementing data ecosystems in data-sensitive contexts. © 2024 The Author(s)","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85188745264"
"Wang P.; Yang H.; Hou J.; Li Q.","Wang, Ping (55504316000); Yang, Hanqin (57219746913); Hou, Jingrui (57223356962); Li, Qiao (57196481101)","55504316000; 57219746913; 57223356962; 57196481101","A machine learning approach to primacy-peak-recency effect-based satisfaction prediction","2023","Information Processing and Management","60","2","103196","","","","6","10.1016/j.ipm.2022.103196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146240851&doi=10.1016%2fj.ipm.2022.103196&partnerID=40&md5=d1a0fe67eecaf524fc62d8a44d8e4caa","Data retrieval systems supporting the discovery and reuse of open data are emerging as important tools in the open data ecosystem. However, user satisfaction with them is relatively low. This study proposes the primacy-peak-recency effect to investigate the cognitive mechanisms underlying data searchers’ overall satisfaction. To test the primacy-peak-recency effect, primacy-peak-recency cubes consisting of eye movement indicators at primacy, peak, and recency moments and their combinations are constructed as the theoretical model. A user experiment was conducted to collect eye movement data and satisfaction scores generated during 48 doctoral students’ interactions with data retrieval systems. An ensemble machine learning framework was then applied to analyze eye movement data to assess the theoretical model. The results indicate that the primacy-peak-recency cubes are salient predictors of data searchers’ satisfaction (the prediction accuracy=0.682 and regression R2=0.749). This finding suggests that data searchers’ complex cognitive processes at primacy, peak, and recency moments measured by uni-, bi-, and three-dimensional eye movement indicators are predictors of overall satisfaction, confirming the primacy-peak-recency effect. In addition, combinations of varying types of influential moments and multidimensional eye movement events are the best predictors of overall satisfaction. This suggests that influential moments and cognitive processes have additive effects on overall satisfaction. Combining theory-driven and data-driven approaches, this study sheds light on the potential of machine learning approaches for analyzing neuropsychological data for heuristics examination. With these insights, practical strategies to predict data searchers’ satisfaction and optimize the user-experience design of data retrieval systems are proposed. © 2022","Article","Final","","Scopus","2-s2.0-85146240851"
"Morita P.P.; Hussain I.Z.; Kaur J.; Lotto M.; Butt Z.A.","Morita, Plinio Pelegrini (35113653200); Hussain, Irfhana Zakir (57698785200); Kaur, Jasleen (57821497400); Lotto, Matheus (57195512585); Butt, Zahid Ahmad (57202522739)","35113653200; 57698785200; 57821497400; 57195512585; 57202522739","Tweeting for Health Using Real-time Mining and Artificial Intelligence-Based Analytics: Design and Development of a Big Data Ecosystem for Detecting and Analyzing Misinformation on Twitter","2023","Journal of Medical Internet Research","25","","e44356","","","","6","10.2196/44356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161914874&doi=10.2196%2f44356&partnerID=40&md5=b1fcab8026b12ff7a9eedcf074ce7d53","Background: Digital misinformation, primarily on social media, has led to harmful and costly beliefs in the general population. Notably, these beliefs have resulted in public health crises to the detriment of governments worldwide and their citizens. However, public health officials need access to a comprehensive system capable of mining and analyzing large volumes of social media data in real time. Objective: This study aimed to design and develop a big data pipeline and ecosystem (UbiLab Misinformation Analysis System [U-MAS]) to identify and analyze false or misleading information disseminated via social media on a certain topic or set of related topics. Methods: U-MAS is a platform-independent ecosystem developed in Python that leverages the Twitter V2 application programming interface and the Elastic Stack. The U-MAS expert system has 5 major components: data extraction framework, latent Dirichlet allocation (LDA) topic model, sentiment analyzer, misinformation classification model, and Elastic Cloud deployment (indexing of data and visualizations). The data extraction framework queries the data through the Twitter V2 application programming interface, with queries identified by public health experts. The LDA topic model, sentiment analyzer, and misinformation classification model are independently trained using a small, expert-validated subset of the extracted data. These models are then incorporated into U-MAS to analyze and classify the remaining data. Finally, the analyzed data are loaded into an index in the Elastic Cloud deployment and can then be presented on dashboards with advanced visualizations and analytics pertinent to infodemiology and infoveillance analysis. Results: U-MAS performed efficiently and accurately. Independent investigators have successfully used the system to extract significant insights into a fluoride-related health misinformation use case (2016 to 2021). The system is currently used for a vaccine hesitancy use case (2007 to 2022) and a heat wave-related illnesses use case (2011 to 2022). Each component in the system for the fluoride misinformation use case performed as expected. The data extraction framework handles large amounts of data within short periods. The LDA topic models achieved relatively high coherence values (0.54), and the predicted topics were accurate and befitting to the data. The sentiment analyzer performed at a correlation coefficient of 0.72 but could be improved in further iterations. The misinformation classifier attained a satisfactory correlation coefficient of 0.82 against expert-validated data. Moreover, the output dashboard and analytics hosted on the Elastic Cloud deployment are intuitive for researchers without a technical background and comprehensive in their visualization and analytics capabilities. In fact, the investigators of the fluoride misinformation use case have successfully used the system to extract interesting and important insights into public health, which have been published separately. Conclusions: The novel U-MAS pipeline has the potential to detect and analyze misleading information related to a particular topic or set of related topics. © Plinio Pelegrini Morita, Irfhana Zakir Hussain, Jasleen Kaur, Matheus Lotto, Zahid Ahmad Butt. Originally published in the Journal of Medical Internet Research (https://www.jmir.org), 09.06.2023. This is an open-access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in the Journal of Medical Internet Research, is properly cited. The complete bibliographic information, a link to the original publication on https://www.jmir.org/, as well as this copyright and license information must be included.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85161914874"
"Al Janabi M.A.M.","Al Janabi, Mazin A.M. (24463149200)","24463149200","Optimization algorithms and investment portfolio analytics with machine learning techniques under time-varying liquidity constraints","2022","Journal of Modelling in Management","17","3","","864","895","31","17","10.1108/JM2-10-2020-0259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106274228&doi=10.1108%2fJM2-10-2020-0259&partnerID=40&md5=c7ec1f152c449472ec17fb54dc8a2586","Purpose: This paper aims to examine from commodity portfolio managers’ perspective the performance of liquidity adjusted risk modeling in assessing the market risk parameters of a large commodity portfolio and in obtaining efficient and coherent portfolios under different market circumstances. Design/methodology/approach: The implemented market risk modeling algorithm and investment portfolio analytics using reinforcement machine learning techniques can simultaneously handle risk-return characteristics of commodity investments under regular and crisis market settings besides considering the particular effects of the time-varying liquidity constraints of the multiple-asset commodity portfolios. Findings: In particular, the paper implements a robust machine learning method to commodity optimal portfolio selection and within a liquidity-adjusted value-at-risk (LVaR) framework. In addition, the paper explains how the adapted LVaR modeling algorithms can be used by a commodity trading unit in a dynamic asset allocation framework for estimating risk exposure, assessing risk reduction alternates and creating efficient and coherent market portfolios. Originality/value: The optimization parameters subject to meaningful operational and financial constraints, investment portfolio analytics and empirical results can have important practical uses and applications for commodity portfolio managers particularly in the wake of the 2007–2009 global financial crisis. In addition, the recommended reinforcement machine learning optimization algorithms can aid in solving some real-world dilemmas under stressed and adverse market conditions (e.g. illiquidity, switching in correlations factors signs, nonlinear and non-normal distribution of assets’ returns) and can have key applications in machine learning, expert systems, smart financial functions, internet of things (IoT) and financial technology (FinTech) in big data ecosystems. © 2021, Emerald Publishing Limited.","Article","Final","","Scopus","2-s2.0-85106274228"
"Rong K.","Rong, Ke (35318749700)","35318749700","Research agenda for the digital economy","2022","Journal of Digital Economy","1","1","","20","31","11","36","10.1016/j.jdec.2022.08.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143719414&doi=10.1016%2fj.jdec.2022.08.004&partnerID=40&md5=ce9d6d59e34307b05cded1dad197c8f5","In this study, a research agenda is proposed to understand the current development and future landscape of the digital economy. The shift from the industrial economy to a digital economy brings tremendous changes in terms of new production factors, new organizations, new models, and new contexts, calling for a new theoretical framework. Therefore, the IBCDE framework is proposed for digital economy research from five perspectives: digital infrastructure (I), to-B industry platforms (B), to-C two-sided platforms (C), data ecosystem (D), and economic contexts (E). By relating the current practice of the digital economy with extant literature, potential directions for future research are identified. © 2022 The Author","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85143719414"
"Šestak M.; Copot D.","Šestak, Martina (57203245465); Copot, Daniel (58628027900)","57203245465; 58628027900","Towards Trusted Data Sharing and Exchange in Agro-Food Supply Chains: Design Principles for Agricultural Data Spaces","2023","Sustainability (Switzerland)","15","18","13746","","","","8","10.3390/su151813746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172905290&doi=10.3390%2fsu151813746&partnerID=40&md5=e63bb276b46326d19082a2455b86c444","In the modern agricultural landscape, realizing data’s full potential requires a unified infrastructure where stakeholders collaborate and share their data to gain insights and create business value. The agricultural data ecosystem (ADE) serves as a crucial socio-technical infrastructure, aggregating diverse data from various platforms and, thus, advertising sustainable agriculture and digitalization. Establishing trustworthy data sharing and exchange in agro-food value chains involves socioeconomic and technological elements addressed by the agricultural data space (ADS) and its trust principles. This paper outlines key challenges to data sharing in agro-food chains impeding ADE establishment based on the review of 27 studies in scientific literature. Challenges mainly arise from stakeholders’ mistrust in the data-sharing process, inadequate data access and use policies, and unclear data ownership agreements. In the ADE context, interoperability is a particularly challenging topic for ensuring the long-term sustainability of the system. Considering these challenges and data space principles and building blocks, we propose a set of design principles for ADS design and implementation that aim to mitigate the adverse impact of these challenges and facilitate agricultural data sharing and exchange. © 2023 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85172905290"
"Atazadeh B.; Rajabifard A.; Olfat H.","Atazadeh, Behnam (57186586500); Rajabifard, Abbas (6603307682); Olfat, Hamed (55440801300)","57186586500; 6603307682; 55440801300","Proposing a multi-jurisdictional framework for 3D digital cadastre in Australia and New Zealand","2023","Land Use Policy","131","","106714","","","","3","10.1016/j.landusepol.2023.106714","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158064434&doi=10.1016%2fj.landusepol.2023.106714&partnerID=40&md5=f3a4e69b87cdd40c393843285c77b914","Recent studies in Australia and New Zealand have explored various technological, legal, and institutional aspects of 3D cadastre modernisation. The majority of these studies concentrate on a single jurisdiction. The reason is that each jurisdiction is in charge of its own cadastral system. As a result, each jurisdiction's standards, rules, and processes for implementing 3D digital cadastre are unique. In Australia and New Zealand, however, the Intergovernmental Committee on Surveying and Mapping (ICSM) has established national frameworks for cadastral systems. To implement 3D digital cadastre at a national level, it is vital to identify the variations and commonalities across existing cadastral systems. Comparisons of 3D cadastre for several civil law countries as well as international standards have been undertaken in the present literature. However, common law jurisdictions such as Australian states and New Zealand have not been compared in terms of 3D cadastre. Therefore, the main goal of this study is to propose a multi-jurisdictional framework that includes variations and commonalities in the current methods adopted for subdividing ownership of vertically placed properties in order to support 3D digital cadastre in all Australian and New Zealand jurisdictions. The proposed framework comprises four layers: definition, core, interoperability and jurisdictional. This framework would potentially serve as a starting point for building a nationally integrated digital data ecosystem for 3D cadastre in Australia and New Zealand. © 2023 The Authors","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85158064434"
"Booth P.; Navarrete T.; Ogundipe A.","Booth, Peter (57202958419); Navarrete, Trilce (23978276000); Ogundipe, Anne (57202953616)","57202958419; 23978276000; 57202953616","Museum open data ecosystems: a comparative study","2022","Journal of Documentation","78","4","","761","779","18","6","10.1108/JD-05-2021-0102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116157965&doi=10.1108%2fJD-05-2021-0102&partnerID=40&md5=4095d131c43ab2d90cf3d7279bc6dbd0","Purpose: This study aims to investigate how, in forming their policy towards open data (OD), art museums interact with the OD ecosystems they are part of, comprising internal and external components such as cultural policy, legal frameworks, user groups and economic conditions and incentives. Design/methodology/approach: The authors structure their research as a multiple case study based on three OD ecosystems, each defined by a mid-sized European art museum at its centre. Qualitative analysis of the case studies proceeds from interviews with museum management staff and policy-related agencies in three European countries, in addition to document analysis. Findings: The results of this study suggest that museums are sensitive towards their environments and respond to their ecosystem based on what is communicated within their networks. However, museums are not effective in communicating with their users, limiting the informational interdependence necessary for well-functioning OD ecosystems. EU policy appears to be a driving force along with national financial incentives, though institutional conditions are limiting progress. Advancing the field relies instead on an epistemological shift to understand the museum as part of a larger information network. Originality/value: As the first comparative case study of art museum OD ecosystems that the authors are aware of, the study provides a qualitative analysis of the complex dynamics impacting OD policy within the mid-sized art museum. The authors identify specific dynamics that are thus far restricting further development of the OD ecosystem of the mid-sized European art museum. © 2021, Emerald Publishing Limited.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85116157965"
"Hawrylycz M.; Martone M.E.; Ascoli G.A.; Bjaalie J.G.; Dong H.-W.; Ghosh S.S.; Gillis J.; Hertzano R.; Haynor D.R.; Hof P.R.; Kim Y.; Lein E.; Liu Y.; Miller J.A.; Mitra P.P.; Mukamel E.; Ng L.; Osumi-Sutherland D.; Peng H.; Ray P.L.; Sanchez R.; Regev A.; Ropelewski A.; Scheuermann R.H.; Tan S.Z.K.; Thompson C.L.; Tickle T.; Tilgner H.; Varghese M.; Wester B.; White O.; Zeng H.; Aevermann B.; Allemang D.; Ament S.; Athey T.L.; Baker C.; Baker K.S.; Baker P.M.; Bandrowski A.; Banerjee S.; Bishwakarma P.; Carr A.; Chen M.; Choudhury R.; Cool J.; Creasy H.; D'Orazi F.; Degatano K.; Dichter B.; Ding S.-L.; Dolbeare T.; Ecker J.R.; Fang R.; Fillion-Robin J.-C.; Fliss T.P.; Gee J.; Gillespie T.; Gouwens N.; Zhang G.-Q.; Halchenko Y.O.; Harris N.L.; Herb B.R.; Hintiryan H.; Hood G.; Horvath S.; Huo B.; Jarecka D.; Jiang S.; Khajouei F.; Kiernan E.A.; Kir H.; Kruse L.; Lee C.; Lelieveldt B.; Li Y.; Liu H.; Liu L.; Markuhar A.; Mathews J.; Mathews K.L.; Mezias C.; Miller M.I.; Mollenkopf T.; Mufti S.; Mungall C.J.; Orvis J.; Puchades M.A.; Qu L.; Receveur J.P.; Ren B.; Sjoquist N.; Staats; Tward D.; van Velthoven C.T.J.; Wang Q.; Xie F.; Xu H.; Yao Z.; Yun Z.; Zhang Y.R.; Zheng W.J.; Zingg B.","Hawrylycz, Michael (6603334595); Martone, Maryann E. (13605852600); Ascoli, Giorgio A. (7003505100); Bjaalie, Jan G. (7004240123); Dong, Hong-Wei (57193262418); Ghosh, Satrajit S. (7404806211); Gillis, Jesse (35578536500); Hertzano, Ronna (6507790490); Haynor, David R. (7005723263); Hof, Patrick R. (7102961274); Kim, Yongsoo (55699649400); Lein, Ed (6602556774); Liu, Yufeng (57222422182); Miller, Jeremy A. (57209547835); Mitra, Partha P. (56775700000); Mukamel, Eran (54788003700); Ng, Lydia (7201477822); Osumi-Sutherland, David (6506419854); Peng, Hanchuan (15061795400); Ray, Patrick L. (56516061700); Sanchez, Raymond (57205742196); Regev, Aviv (7006641761); Ropelewski, Alex (6602771439); Scheuermann, Richard H. (7006976175); Tan, Shawn Zheng Kai (56076575900); Thompson, Carol L. (55455491400); Tickle, Timothy (21835163000); Tilgner, Hagen (57189027669); Varghese, Merina (57200371209); Wester, Brock (26538322000); White, Owen (35611605400); Zeng, Hongkui (7401471902); Aevermann, Brian (23569096100); Allemang, David (57222560563); Ament, Seth (15047433600); Athey, Thomas L. (57212675199); Baker, Cody (57997314000); Baker, Katherine S. (57219814083); Baker, Pamela M. (57913360000); Bandrowski, Anita (6507207789); Banerjee, Samik (55702079100); Bishwakarma, Prajal (57997484800); Carr, Ambrose (57224003709); Chen, Min (57213279748); Choudhury, Roni (57854736900); Cool, Jonah (57210943345); Creasy, Heather (59454559200); D'Orazi, Florence (56166352300); Degatano, Kylee (57222499726); Dichter, Benjamin (56993343800); Ding, Song-Lin (7401541389); Dolbeare, Tim (15764368900); Ecker, Joseph R. (57675196400); Fang, Rongxin (57193923274); Fillion-Robin, Jean-Christophe (55279746000); Fliss, Timothy P. (15765001900); Gee, James (58609860800); Gillespie, Tom (57205570927); Gouwens, Nathan (6504397587); Zhang, Guo-Qiang (57198462568); Halchenko, Yaroslav O. (6503870081); Harris, Nomi L. (57188535624); Herb, Brian R. (35331966800); Hintiryan, Houri (6505630036); Hood, Gregory (56876895400); Horvath, Sam (57203234511); Huo, Bingxing (57204107109); Jarecka, Dorota (57997590800); Jiang, Shengdian (57214990029); Khajouei, Farzaneh (54782667700); Kiernan, Elizabeth A. (57721088400); Kir, Huseyin (36706258500); Kruse, Lauren (57997401200); Lee, Changkyu (59110473900); Lelieveldt, Boudewijn (7003267462); Li, Yang (57221738119); Liu, Hanqing (57544006200); Liu, Lijuan (27171147700); Markuhar, Anup (57997484700); Mathews, James (57201727389); Mathews, Kaylee L. (57201801558); Mezias, Chris (56668701500); Miller, Michael I. (35425199300); Mollenkopf, Tyler (57219825574); Mufti, Shoaib (57997358100); Mungall, Christopher J. (6602880619); Orvis, Joshua (15760613300); Puchades, Maja A. (6602551686); Qu, Lei (36175185400); Receveur, Joseph P. (57201255739); Ren, Bing (57204528771); Sjoquist, Nathan (56154395300); Staats (58484616800); Tward, Daniel (22036856100); van Velthoven, Cindy T.J. (26436437900); Wang, Quanxin (55566353800); Xie, Fangming (57219809898); Xu, Hua (57215023364); Yao, Zizhen (12243005600); Yun, Zhixi (57285578000); Zhang, Yun Renee (58477776400); Zheng, W. Jim (57205446444); Zingg, Brian (35093579700)","6603334595; 13605852600; 7003505100; 7004240123; 57193262418; 7404806211; 35578536500; 6507790490; 7005723263; 7102961274; 55699649400; 6602556774; 57222422182; 57209547835; 56775700000; 54788003700; 7201477822; 6506419854; 15061795400; 56516061700; 57205742196; 7006641761; 6602771439; 7006976175; 56076575900; 55455491400; 21835163000; 57189027669; 57200371209; 26538322000; 35611605400; 7401471902; 23569096100; 57222560563; 15047433600; 57212675199; 57997314000; 57219814083; 57913360000; 6507207789; 55702079100; 57997484800; 57224003709; 57213279748; 57854736900; 57210943345; 59454559200; 56166352300; 57222499726; 56993343800; 7401541389; 15764368900; 57675196400; 57193923274; 55279746000; 15765001900; 58609860800; 57205570927; 6504397587; 57198462568; 6503870081; 57188535624; 35331966800; 6505630036; 56876895400; 57203234511; 57204107109; 57997590800; 57214990029; 54782667700; 57721088400; 36706258500; 57997401200; 59110473900; 7003267462; 57221738119; 57544006200; 27171147700; 57997484700; 57201727389; 57201801558; 56668701500; 35425199300; 57219825574; 57997358100; 6602880619; 15760613300; 6602551686; 36175185400; 57201255739; 57204528771; 56154395300; 58484616800; 22036856100; 26436437900; 55566353800; 57219809898; 57215023364; 12243005600; 57285578000; 58477776400; 57205446444; 35093579700","A guide to the BRAIN Initiative Cell Census Network data ecosystem","2023","PLoS Biology","21","6 June","e3002133","","","","10","10.1371/journal.pbio.3002133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164233059&doi=10.1371%2fjournal.pbio.3002133&partnerID=40&md5=45e052642cb5df0a8117c76304353982","Characterizing cellular diversity at different levels of biological organization and across AU data: Ple modalities is a prerequisite to understanding the function of cell types in the brain. Classification of neurons is also essential to manipulate cell types in controlled ways and to understand their variation and vulnerability in brain disorders. The BRAIN Initiative Cell Census Network (BICCN) is an integrated network of data-generating centers, data archives, and data standards developers, with the goal of systematic multimodal brain cell type profiling and characterization. Emphasis of the BICCN is on the whole mouse brain with demonstration of prototype feasibility for human and nonhuman primate (NHP) brains. Here, we provide a guide to the cellular and spatial approaches employed by the BICCN, and to accessing and using these data and extensive resources, including the BRAIN Cell Data Center (BCDC), which serves to manage and integrate data across the ecosystem. We illustrate the power of the BICCN data ecosystem through vignettes highlighting several BICCN analysis and visualization tools. Finally, we present emerging standards that have been developed or adopted toward Findable, Accessible, Interoperable, and Reusable (FAIR) neuroscience. The combined BICCN ecosystem provides a comprehensive resource for the exploration and analysis of cell types in the brain. Copyright: © 2023 Hawrylycz et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85164233059"
